CODE_N,COMMUNE,BVQ_N,POPSDC99,LOG,LOGVAC,stratlog
31014,ARGUENOS,31020,57.00,94.00,1.00,1
31131,CAZAUNOUS,31020,47.00,56.00,4.00,1
31348,MONCAUP,31020,26.00,57.00,2.00,1
31447,RAZECUEILLE,31020,37.00,89.00,6.00,1
31140,CHEIN-DESSUS,31020,184.00,174.00,28.00,2
31174,ESTADENS,31020,425.00,274.00,1.00,2
31245,JUZET-D'IZAU,31020,193.00,153.00,6.00,2
31342,MILHAS,31020,140.00,150.00,10.00,2
31544,SENGOUAGNET,31020,220.00,239.00,15.00,2
31020,ASPET,31020,923.00,684.00,90.00,3
31039,BACHAS,31028,75.00,42.00,2.00,1
31063,BENQUE,31028,154.00,72.00,5.00,1
31086,BOUZIN,31028,69.00,35.00,5.00,1
31134,CAZENEUVE-MO,31028,54.00,33.00,2.00,1
31168,EOUX,31028,121.00,58.00,7.00,1
31172,ESPARRON,31028,36.00,29.00,5.00,1
31386,MONTOULIEU-S,31028,153.00,73.00,6.00,1
31414,PEYRISSAS,31028,82.00,42.00,5.00,1
31415,PEYROUZET,31028,79.00,35.00,1.00,1
31477,SAINT-ELIX-S,31028,47.00,29.00,7.00,1
31529,SAMOUILLAN,31028,108.00,56.00,3.00,1
31198,LE FRECHET,31028,103.00,48.00,4.00,1
31005,ALAN,31028,299.00,163.00,9.00,2
31083,BOUSSAN,31028,190.00,121.00,16.00,2
31109,CASSAGNABERE,31028,389.00,226.00,25.00,2
31468,SAINT-ANDRE,31028,180.00,103.00,6.00,2
31028,AURIGNAC,31028,980.00,539.00,35.00,3
31027,AURIBAIL,31033,162.00,69.00,4.00,1
31256,LABRUYERE-DO,31033,143.00,57.00,4.00,1
31002,AIGNES,31033,193.00,99.00,7.00,1
31319,MARLIAC,31033,108.00,49.00,4.00,1
31171,ESPANES,31033,232.00,95.00,2.00,1
31332,MAUVAISIN,31033,252.00,91.00,8.00,1
31264,LAGRACE-DIEU,31033,269.00,111.00,11.00,2
31330,MAURESSAC,31033,240.00,102.00,5.00,2
31442,PUYDANIEL,31033,318.00,139.00,17.00,2
31148,CLERMONT-LE-,31033,464.00,185.00,7.00,2
31128,CAUJAC,31033,437.00,201.00,10.00,2
31173,ESPERCE,31033,210.00,105.00,6.00,2
31231,GRAZAC,31033,442.00,169.00,7.00,2
31240,ISSUS,31033,291.00,109.00,6.00,2
31024,AURAGNE,31033,310.00,129.00,8.00,2
31052,BEAUMONT-SUR,31033,1414.00,563.00,20.00,3
31233,GREPIAC,31033,791.00,318.00,16.00,3
31345,MIREMONT,31033,1445.00,579.00,30.00,3
31572,VENERQUE,31033,2328.00,968.00,43.00,3
31574,VERNET,31033,1895.00,764.00,52.00,3
31206,GAILLAC-TOUL,31033,910.00,368.00,26.00,3
31033,AUTERIVE,31033,6531.00,2777.00,126.00,4
31145,CINTEGABELLE,31033,2341.00,1079.00,86.00,4
31010,ANTIGNAC,31042,100.00,76.00,0.00,1
31019,ARTIGUE,31042,34.00,34.00,0.00,1
31064,BENQUE-DESSO,31042,19.00,40.00,1.00,1
31068,BILLIERE,31042,25.00,25.00,2.00,1
31081,BOURG-D'OUEI,31042,10.00,30.00,0.00,1
31123,CASTILLON-DE,31042,83.00,84.00,7.00,1
31125,CATHERVIELLE,31042,30.00,51.00,4.00,1
31127,CAUBOUS,31042,12.00,16.00,0.00,1
31129,CAZARIL-LASP,31042,19.00,26.00,0.00,1
31133,CAZEAUX-DE-L,31042,81.00,90.00,6.00,1
31146,CIRES,31042,8.00,39.00,7.00,1
31222,GOUAUX-DE-LU,31042,44.00,60.00,0.00,1
31242,JURVIELLE,31042,15.00,27.00,3.00,1
31335,MAYREGNE,31042,33.00,56.00,0.00,1
31394,MOUSTAJON,31042,180.00,91.00,2.00,1
31404,OO,31042,108.00,98.00,0.00,1
31432,PORTET-DE-LU,31042,32.00,31.00,1.00,1
31434,POUBEAU,31042,53.00,73.00,1.00,1
31465,SACCOURVIELL,31042,14.00,28.00,0.00,1
31508,SAINT-PAUL-D,31042,49.00,68.00,2.00,1
31524,SALLES-ET-PR,31042,119.00,84.00,6.00,1
31549,SODE,31042,19.00,20.00,3.00,1
31559,TREBONS-DE-L,31042,10.00,12.00,0.00,1
31046,BAREN,31042,8.00,13.00,1.00,1
31132,CAZAUX-LAYRI,31042,86.00,49.00,2.00,1
31290,LEGE,31042,39.00,44.00,1.00,1
31142,CIER-DE-LUCH,31042,222.00,172.00,8.00,2
31213,GARIN,31042,102.00,139.00,10.00,2
31221,GOUAUX-DE-LA,31042,65.00,216.00,1.00,2
31244,JUZET-DE-LUC,31042,379.00,233.00,13.00,2
31360,MONTAUBAN-DE,31042,481.00,316.00,10.00,3
31470,SAINT-AVENTI,31042,95.00,461.00,10.00,3
31500,SAINT-MAMET,31042,499.00,601.00,59.00,3
31042,BAGNERES-DE-,31042,2900.00,4490.00,350.00,4
31352,MONDOUZIL,31044,218.00,80.00,0.00,1
31003,AIGREFEUILLE,31044,577.00,179.00,1.00,2
31418,PIN-BALMA,31044,655.00,225.00,9.00,2
31163,DREMIL-LAFAG,31044,2580.00,862.00,17.00,3
31184,FLOURENS,31044,1793.00,583.00,10.00,3
31355,MONS,31044,1085.00,349.00,6.00,3
31445,QUINT-FONSEG,31044,4478.00,1763.00,59.00,4
31121,CASTERA-VIGN,31080,54.00,27.00,3.00,1
31141,CIADOUX,31080,186.00,87.00,9.00,1
31218,GENSAC-DE-BO,31080,141.00,66.00,8.00,1
31295,LESPUGUE,31080,83.00,45.00,3.00,1
31307,LUNAX,31080,56.00,29.00,2.00,1
31350,MONDILHAN,31080,80.00,60.00,5.00,1
31378,MONTGAILLARD,31080,66.00,32.00,2.00,1
31397,NENIGAN,31080,55.00,23.00,2.00,1
31398,NIZAN-GESSE,31080,84.00,52.00,6.00,1
31412,PEGUILHAN,31080,221.00,93.00,3.00,1
31479,SAINT-FERREO,31080,53.00,31.00,7.00,1
31498,SAINT-LOUP-E,31080,40.00,31.00,1.00,1
31510,SAINT-PE-DEL,31080,121.00,53.00,4.00,1
31528,SAMAN,31080,142.00,58.00,7.00,1
31531,SARRECAVE,31080,61.00,43.00,8.00,1
31532,SARREMEZAN,31080,69.00,34.00,6.00,1
31043,BALESTA,31080,149.00,80.00,4.00,1
31070,BLAJAN,31080,437.00,244.00,6.00,2
31138,CHARLAS,31080,189.00,109.00,12.00,2
31170,ESCANECRABE,31080,240.00,117.00,8.00,2
31385,MONTMAURIN,31080,198.00,121.00,5.00,2
31080,BOULOGNE-SUR,31080,1433.00,703.00,49.00,3
31061,BELLEGARDE-S,31098,176.00,75.00,4.00,1
31096,CABANAC-SEGU,31098,128.00,66.00,10.00,1
31126,CAUBIAC,31098,193.00,92.00,4.00,1
31164,DRUDAS,31098,172.00,93.00,14.00,1
31209,GARAC,31098,157.00,66.00,5.00,1
31265,LAGRAULET-SA,31098,145.00,93.00,15.00,1
31275,LAREOLE,31098,122.00,61.00,0.00,1
31444,PUYSSEGUR,31098,70.00,42.00,1.00,1
31577,VIGNAUX,31098,100.00,50.00,6.00,1
31090,BRIGNEMONT,31098,317.00,150.00,10.00,2
31156,COX,31098,267.00,156.00,11.00,2
31234,LE GRES,31098,223.00,111.00,8.00,2
31413,PELLEPORT,31098,344.00,159.00,6.00,2
31098,CADOURS,31098,696.00,336.00,29.00,3
31006,ALBIAC,31106,159.00,60.00,3.00,1
31055,BEAUVILLE,31106,106.00,50.00,8.00,1
31102,CAMBIAC,31106,170.00,79.00,8.00,1
31105,CARAGOUDES,31106,213.00,90.00,8.00,1
31194,FRANCARVILLE,31106,154.00,65.00,8.00,1
31325,MASCARVILLE,31106,139.00,54.00,0.00,1
31392,MOURVILLES-B,31106,60.00,28.00,3.00,1
31441,PRUNET,31106,134.00,53.00,0.00,1
31527,LA SALVETAT-,31106,97.00,42.00,2.00,1
31534,SAUSSENS,31106,144.00,59.00,9.00,1
31540,SEGREVILLE,31106,143.00,62.00,5.00,1
31558,TOUTENS,31106,143.00,62.00,2.00,1
31571,VENDINE,31106,169.00,71.00,2.00,1
31029,AURIN,31106,245.00,93.00,4.00,1
31179,LE FAGET,31106,279.00,148.00,20.00,2
31304,LOUBENS-LAUR,31106,324.00,149.00,11.00,2
31331,MAUREVILLE,31106,266.00,105.00,8.00,2
31439,PRESERVILLE,31106,359.00,142.00,4.00,2
31512,SAINT-PIERRE,31106,377.00,154.00,12.00,2
31551,TARABEL,31106,373.00,134.00,6.00,2
31567,VALLESVILLES,31106,291.00,119.00,4.00,2
31026,AURIAC-SUR-V,31106,958.00,446.00,33.00,3
31106,CARAMAN,31106,1944.00,871.00,72.00,3
31082,BOURG-SAINT-,31106,772.00,327.00,19.00,3
31271,LANTA,31106,1175.00,515.00,32.00,3
31480,SAINTE-FOY-D,31106,1631.00,510.00,10.00,3
31379,MONTGAZIN,31107,151.00,67.00,10.00,1
31258,LACAUGNE,31107,168.00,70.00,1.00,1
31312,MAILHOLAS,31107,38.00,16.00,2.00,1
31071,BOIS-DE-LA-P,31107,313.00,110.00,5.00,2
31104,CAPENS,31107,285.00,128.00,10.00,2
31334,MAUZAC,31107,682.00,275.00,12.00,2
31361,MONTAUT,31107,440.00,183.00,18.00,2
31416,PEYSSIES,31107,364.00,154.00,5.00,2
31261,LAFITTE-VIGO,31107,654.00,268.00,11.00,2
31476,SAINT-ELIX-L,31107,542.00,247.00,18.00,2
31280,LATRAPE,31107,297.00,173.00,31.00,2
31525,SALLES-SUR-G,31107,301.00,135.00,5.00,2
31303,LONGAGES,31107,1899.00,761.00,36.00,3
31320,MARQUEFAVE,31107,850.00,365.00,20.00,3
31399,NOE,31107,2066.00,856.00,35.00,3
31517,SAINT-SULPIC,31107,1639.00,750.00,46.00,3
31455,RIEUX,31107,1899.00,949.00,77.00,3
31107,CARBONNE,31107,3692.00,1751.00,147.00,4
31340,MERVILLA,31113,172.00,66.00,3.00,1
31411,PECHBUSQUE,31113,707.00,252.00,12.00,2
31448,REBIGUE,31113,444.00,154.00,3.00,2
31151,CORRONSAC,31113,448.00,161.00,3.00,2
31161,DEYME,31113,835.00,281.00,2.00,2
31035,AUZEVILLE-TO,31113,2202.00,802.00,19.00,3
31409,PECHABOU,31113,1299.00,453.00,12.00,3
31578,VIGOULET-AUZ,31113,990.00,361.00,19.00,3
31057,BELBERAUD,31113,1124.00,335.00,5.00,3
31429,POMPERTUZAT,31113,1208.00,431.00,21.00,3
31254,LABEGE,31113,3152.00,1646.00,168.00,4
31169,ESCALQUENS,31113,5477.00,1892.00,35.00,4
31552,TERREBASSE,31135,121.00,65.00,0.00,1
31196,FRANCON,31135,168.00,75.00,3.00,1
31292,LESCUNS,31135,42.00,27.00,2.00,1
31318,MARIGNAC-LAS,31135,111.00,64.00,0.00,1
31327,MAURAN,31135,119.00,77.00,3.00,1
31367,MONTCLAR-DE-,31135,69.00,39.00,8.00,1
31422,PLAGNE,31135,88.00,45.00,1.00,1
31530,SANA,31135,175.00,65.00,2.00,1
31474,SAINT-CHRIST,31135,229.00,99.00,6.00,1
31153,COULADERE,31135,351.00,207.00,14.00,2
31349,MONDAVEZAN,31135,643.00,292.00,14.00,2
31362,MONTBERAUD,31135,166.00,102.00,17.00,2
31425,LE PLAN,31135,315.00,210.00,8.00,2
31505,SAINT-MICHEL,31135,232.00,148.00,20.00,2
31219,GENSAC-SUR-G,31135,264.00,142.00,11.00,2
31286,LAVELANET-DE,31135,483.00,231.00,27.00,2
31492,SAINT-JULIEN,31135,342.00,180.00,21.00,2
31084,BOUSSENS,31135,833.00,409.00,26.00,3
31324,MARTRES-TOLO,31135,1687.00,879.00,105.00,3
31406,PALAMINY,31135,629.00,314.00,37.00,3
31135,CAZERES,31135,3260.00,1761.00,214.00,4
31040,BACHOS,31144,38.00,34.00,6.00,1
31235,GURAN,31144,45.00,65.00,7.00,1
31548,SIGNAC *,31144,58.00,56.00,4.00,1
31590,BINOS,31144,18.00,22.00,4.00,1
31092,BURGALAYS,31144,115.00,107.00,8.00,2
31144,CIERP-GAUD *,31144,862.00,643.00,43.00,3
31119,CASTELNAU-PI,31193,165.00,88.00,0.00,1
31122,CASTIES-LABR,31193,97.00,41.00,0.00,1
31204,FUSTIGNAC,31193,54.00,26.00,1.00,1
31309,LUSSAN-ADEIL,31193,191.00,99.00,2.00,1
31370,MONTEGUT-BOU,31193,108.00,49.00,5.00,1
31387,MONTOUSSIN,31193,90.00,50.00,7.00,1
31428,POLASTRON,31193,64.00,25.00,0.00,1
31469,SAINT-ARAILL,31193,125.00,51.00,1.00,1
31543,SENARENS,31193,101.00,36.00,0.00,1
31229,GRATENS,31193,445.00,213.00,13.00,2
31317,MARIGNAC-LAS,31193,295.00,124.00,5.00,2
31436,POUY-DE-TOUG,31193,226.00,114.00,1.00,2
31193,LE FOUSSERET,31193,1434.00,681.00,46.00,3
31211,GARGAS,31202,520.00,189.00,2.00,2
31136,CEPET,31202,1315.00,399.00,13.00,3
31252,LABASTIDE-SA,31202,1329.00,490.00,13.00,3
31563,VACQUIERS,31202,1032.00,380.00,4.00,3
31581,VILLAUDRIC,31202,1115.00,438.00,27.00,3
31587,VILLENEUVE-L,31202,950.00,370.00,10.00,3
31079,BOULOC,31202,2925.00,1129.00,48.00,4
31202,FRONTON,31202,3891.00,1646.00,82.00,4
31062,BELLESSERRE,31232,50.00,17.00,1.00,1
31515,SAINT-RUSTIC,31232,425.00,169.00,6.00,2
31089,BRETX,31232,354.00,132.00,10.00,2
31093,LE BURGAUD,31232,484.00,212.00,23.00,2
31403,ONDES,31232,681.00,276.00,13.00,2
31473,SAINT-CEZERT,31232,413.00,118.00,10.00,2
31507,SAINT-PAUL-S,31232,659.00,270.00,24.00,2
31160,DAUX,31232,1253.00,528.00,43.00,3
